"Libellé";"Emploi salarié en fin de trimestre - Fabrication de matériels de transport (A17-C4) - France hors Mayotte";"Codes"
"idBank";"010001826";""
"Période";"";""
"2001-T4";"437894";"A"
"2002-T1";"437383";"A"
"2002-T2";"434998";"A"
"2002-T3";"434744";"A"
"2002-T4";"432957";"A"
"2003-T1";"435287";"A"
"2003-T2";"436298";"A"
"2003-T3";"435142";"A"
"2003-T4";"434396";"A"
"2004-T1";"434239";"A"
"2004-T2";"435690";"A"
"2004-T3";"436374";"A"
"2004-T4";"435789";"A"
"2005-T1";"434221";"A"
"2005-T2";"432222";"A"
"2005-T3";"428781";"A"
"2005-T4";"427295";"A"
"2006-T1";"424999";"A"
"2006-T2";"422170";"A"
"2006-T3";"420668";"A"
"2006-T4";"417556";"A"
"2007-T1";"415037";"A"
"2007-T2";"413380";"A"
"2007-T3";"410595";"A"
"2007-T4";"407461";"A"
"2008-T1";"404415";"A"
"2008-T2";"400036";"A"
"2008-T3";"399970";"A"
"2008-T4";"397086";"A"
"2009-T1";"392576";"A"
"2009-T2";"388515";"A"
"2009-T3";"381073";"A"
"2009-T4";"376556";"A"
"2010-T1";"370663";"A"
"2010-T2";"365969";"A"
"2010-T3";"363553";"A"
"2010-T4";"361929";"A"
"2011-T1";"363692";"A"
"2011-T2";"364301";"A"
"2011-T3";"364892";"A"
"2011-T4";"365650";"A"
"2012-T1";"366589";"A"
"2012-T2";"366043";"A"
"2012-T3";"366445";"A"
"2012-T4";"365958";"A"
"2013-T1";"365264";"A"
"2013-T2";"364302";"A"
"2013-T3";"362101";"A"
"2013-T4";"361806";"A"
"2014-T1";"359774";"A"
"2014-T2";"356833";"A"
"2014-T3";"354888";"A"
"2014-T4";"353131";"A"
"2015-T1";"351694";"A"
"2015-T2";"350121";"A"
"2015-T3";"347928";"A"
"2015-T4";"347014";"A"
"2016-T1";"345516";"A"
"2016-T2";"343404";"A"
"2016-T3";"344978";"A"
"2016-T4";"343808";"A"
"2017-T1";"343644";"A"
"2017-T2";"342707";"A"
"2017-T3";"343180";"A"
"2017-T4";"342716";"A"
"2018-T1";"342613";"P"
"2018-T2";"342330";"P"
"2018-T3";"342279";"P"
"2018-T4";"343218";"P"
"2019-T1";"343815";"P"
"2019-T2";"344261";"P"
"2019-T3";"344829";"P"
"2019-T4";"344486";"P"
